Date (s);Conductivité sigma (S.m^2/mol)
0;1,05E-05
10;0,000399445
20;0,000943472
30;0,001437201
40;0,001885723
50;0,002264561
60;0,002642598
70;0,002980412
80;0,003288403
90;0,00357867
100;0,003845574
110;0,004096848
120;0,004351942
130;0,004563745
140;0,004773191
150;0,00497035
160;0,005136768
170;0,005315669
180;0,005471685
190;0,005619304
200;0,00575363
210;0,005880692
220;0,006008902
230;0,006120655
240;0,006234463
250;0,006321046
260;0,006423339
270;0,006504794
280;0,006609097
290;0,006687179
300;0,006757324
310;0,006815778
320;0,006913772
330;0,006956069
340;0,006998168
350;0,007061287
360;0,007119741
370;0,007183292
380;0,007237892
390;0,007240344
400;0,007291736
410;0,007331784
420;0,007349516
430;0,007412863
440;0,007430406
450;0,007482358
460;0,007493986
470;0,007511475
480;0,007552993
490;0,007552761
500;0,007558276
510;0,007599514
520;0,007616867
530;0,00764583
540;0,007656374
550;0,007672914
560;0,007672914
570;0,007683721
580;0,007711187
590;0,007722017
